"","country","mean_danceability","hc-a2","labelrank","country-abbrev","subregion"
"1","Albania",81.4105805581642,"AL","6","Alb.","Southern Europe"
"2","Andorra",43.101206385899,"AD","6","And.","Southern Europe"
"3","Austria",23.755989790267,"AT","4","Aust.","Western Europe"
"4","Belgium",52.1915408509716,"BE","2","Belg.","Western Europe"
"5","Bosnia and Herzegovina",71.8109634231501,"BA","5","B.H.","Southern Europe"
"6","Bulgaria",81.9939078716078,"BG","4","Bulg.","Eastern Europe"
"7","Croatia",66.9297358472393,"HR","6","Cro.","Southern Europe"
"8","Cyprus",72.9679862264923,"CY","5","Cyp.","Western Asia"
"9","Czech Republic",53.708553059308,"CZ","5","Cz. Rep.","Eastern Europe"
"10","Denmark",30.2707144405115,"DK","4","Den.","Northern Europe"
"11","Estonia",56.9914999157216,"EE","6","Est.","Northern Europe"
"12","Finland",44.1188687423246,"FI","3","Fin.","Northern Europe"
"13","France",90.1595872763611,"FR","2","Fr.","Western Europe"
"14","Germany",41.730778492138,"DE","2","Ger.","Western Europe"
"15","Greece",72.7238796985239,"GR","3","Greece","Southern Europe"
"16","Hungary",55.8874521418768,"HU","5","Hun.","Eastern Europe"
"17","Iceland",7.26811384815432,"IS","3","Iceland","Northern Europe"
"18","Ireland",32.7460930915746,"IE","3","Ire.","Northern Europe"
"19","Italy",70.6680873606395,"IT","2","Italy","Southern Europe"
"20","Latvia",55.2854631703147,"LV","5","Lat.","Northern Europe"
"21","Lithuania",45.4959185147728,"LT","5","Lith.","Northern Europe"
"22","Luxembourg",88.7461171711334,"LU","6","Lux.","Western Europe"
"23","Macedonia",67.6807170892629,"MK","6","Mkd.","Southern Europe"
"24","Malta",15.8121433215344,"MT","5","Malta","Southern Europe"
"25","Monaco",84.628512605649,"MC","6","Mco.","Western Europe"
"26","Netherlands",47.532748200053,"NL","5","Neth.","Western Europe"
"27","Norway",15.5782706060825,"NO","3","Nor.","Northern Europe"
"28","Poland",69.9408846829926,"PL","3","Pol.","Eastern Europe"
"29","Portugal",62.6944424378146,"PT","2","Port.","Southern Europe"
"30","Romania",63.0556358207517,"RO","3","Rom.","Eastern Europe"
"31","Russia",91.902646343519,"RU","2","Rus.","Eastern Europe"
"32","Slovakia",47.9174191528811,"SK","6","Svk.","Eastern Europe"
"33","Spain",86.3125767535939,"ES","2","Sp.","Southern Europe"
"34","Sweden",0,"SE","3","Swe.","Northern Europe"
"35","Switzerland",50.7262996941896,"CH","4","Switz.","Western Europe"
"36","Turkey",60.0679645548894,"TR","2","Tur.","Western Asia"
"37","Ukraine",100,"UA","3","Ukr.","Eastern Europe"
"38","United Kingdom",30.6201690385032,"GB","2","U.K.","Northern Europe"
