"","country","mean_energy","hc-a2","labelrank","country-abbrev","subregion"
"1","Albania",100,"AL","6","Alb.","Southern Europe"
"2","Andorra",87.1723557664217,"AD","6","And.","Southern Europe"
"3","Austria",37.1145104180057,"AT","4","Aust.","Western Europe"
"4","Belgium",53.8479816453009,"BE","2","Belg.","Western Europe"
"5","Bosnia and Herzegovina",93.8387887145089,"BA","5","B.H.","Southern Europe"
"6","Bulgaria",84.6037885781731,"BG","4","Bulg.","Eastern Europe"
"7","Croatia",97.2608961549398,"HR","6","Cro.","Southern Europe"
"8","Cyprus",67.0943716670757,"CY","5","Cyp.","Western Asia"
"9","Czech Republic",41.7421382912835,"CZ","5","Cz. Rep.","Eastern Europe"
"10","Denmark",47.7923332515318,"DK","4","Den.","Northern Europe"
"11","Estonia",64.5312579123478,"EE","6","Est.","Northern Europe"
"12","Finland",50.7387454765717,"FI","3","Fin.","Northern Europe"
"13","France",56.0979125035545,"FR","2","Fr.","Western Europe"
"14","Germany",57.3607718945618,"DE","2","Ger.","Western Europe"
"15","Greece",71.6082564983504,"GR","3","Greece","Southern Europe"
"16","Hungary",59.4611228619619,"HU","5","Hun.","Eastern Europe"
"17","Iceland",4.9746999637736,"IS","3","Iceland","Northern Europe"
"18","Ireland",47.0993576634375,"IE","3","Ire.","Northern Europe"
"19","Italy",85.0871965066863,"IT","2","Italy","Southern Europe"
"20","Latvia",37.6832256280213,"LV","5","Lat.","Northern Europe"
"21","Lithuania",41.4924489422287,"LT","5","Lith.","Northern Europe"
"22","Luxembourg",26.6061335545869,"LU","6","Lux.","Western Europe"
"23","Macedonia",97.7127520752263,"MK","6","Mkd.","Southern Europe"
"24","Malta",12.3107366420094,"MT","5","Malta","Southern Europe"
"25","Monaco",67.4359903240508,"MC","6","Mco.","Western Europe"
"26","Netherlands",59.8619502257332,"NL","5","Neth.","Western Europe"
"27","Norway",4.86017785983896,"NO","3","Nor.","Northern Europe"
"28","Poland",75.8845274405089,"PL","3","Pol.","Eastern Europe"
"29","Portugal",48.155376111624,"PT","2","Port.","Southern Europe"
"30","Romania",51.6584280867408,"RO","3","Rom.","Eastern Europe"
"31","Russia",47.5219987612915,"RU","2","Rus.","Eastern Europe"
"32","Slovakia",37.4226294119251,"SK","6","Svk.","Eastern Europe"
"33","Spain",87.0738044320833,"ES","2","Sp.","Southern Europe"
"34","Sweden",0,"SE","3","Swe.","Northern Europe"
"35","Switzerland",49.3901892730963,"CH","4","Switz.","Western Europe"
"36","Turkey",57.251313693182,"TR","2","Tur.","Western Asia"
"37","Ukraine",43.2987040304769,"UA","3","Ukr.","Eastern Europe"
"38","United Kingdom",56.6514360059053,"GB","2","U.K.","Northern Europe"
