"","country","mean_temper","hc-a2","labelrank","country-abbrev","subregion"
"1","Albania",100,"AL","6","Alb.","Southern Europe"
"2","Andorra",69.6112035296505,"AD","6","And.","Southern Europe"
"3","Austria",33.0440011305201,"AT","4","Aust.","Western Europe"
"4","Belgium",59.1123520697432,"BE","2","Belg.","Western Europe"
"5","Bosnia and Herzegovina",90.9501489972325,"BA","5","B.H.","Southern Europe"
"6","Bulgaria",92.8703259350027,"BG","4","Bulg.","Eastern Europe"
"7","Croatia",89.5404511837265,"HR","6","Cro.","Southern Europe"
"8","Cyprus",78.6559330489329,"CY","5","Cyp.","Western Asia"
"9","Czech Republic",54.1733451443595,"CZ","5","Cz. Rep.","Eastern Europe"
"10","Denmark",42.3491675692491,"DK","4","Den.","Northern Europe"
"11","Estonia",67.3395410771428,"EE","6","Est.","Northern Europe"
"12","Finland",52.5109495420066,"FI","3","Fin.","Northern Europe"
"13","France",84.1351616397093,"FR","2","Fr.","Western Europe"
"14","Germany",54.2306298855633,"DE","2","Ger.","Western Europe"
"15","Greece",80.700163697787,"GR","3","Greece","Southern Europe"
"16","Hungary",64.1748436524903,"HU","5","Hun.","Eastern Europe"
"17","Iceland",7.00277508531064,"IS","3","Iceland","Northern Europe"
"18","Ireland",43.5716846456028,"IE","3","Ire.","Northern Europe"
"19","Italy",85.9682733582326,"IT","2","Italy","Southern Europe"
"20","Latvia",53.1905893689384,"LV","5","Lat.","Northern Europe"
"21","Lithuania",48.8762137441648,"LT","5","Lith.","Northern Europe"
"22","Luxembourg",68.8831941364704,"LU","6","Lux.","Western Europe"
"23","Macedonia",90.233748299952,"MK","6","Mkd.","Southern Europe"
"24","Malta",15.9594909624785,"MT","5","Malta","Southern Europe"
"25","Monaco",86.1706667981813,"MC","6","Mco.","Western Europe"
"26","Netherlands",59.1049543713759,"NL","5","Neth.","Western Europe"
"27","Norway",12.1840092110829,"NO","3","Nor.","Northern Europe"
"28","Poland",81.0286973791282,"PL","3","Pol.","Eastern Europe"
"29","Portugal",62.9591552207833,"PT","2","Port.","Southern Europe"
"30","Romania",64.8926100787002,"RO","3","Rom.","Eastern Europe"
"31","Russia",81.0575294343037,"RU","2","Rus.","Eastern Europe"
"32","Slovakia",48.4204017139898,"SK","6","Svk.","Eastern Europe"
"33","Spain",96.7947100766136,"ES","2","Sp.","Southern Europe"
"34","Sweden",0,"SE","3","Swe.","Northern Europe"
"35","Switzerland",56.0182173064411,"CH","4","Switz.","Western Europe"
"36","Turkey",65.7332921085527,"TR","2","Tur.","Western Asia"
"37","Ukraine",84.1038636850781,"UA","3","Ukr.","Eastern Europe"
"38","United Kingdom",46.8833876147355,"GB","2","U.K.","Northern Europe"
