"","country","track.name","chart_number","track.popularity","artist.name","track.album.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type"
"1","Austria","Do They Know It's Christmas? - 1984 Version",50,84,"Band Aid","Do They Know It's Christmas?",0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,"audio_features"
"2","Austria","All I Want for Christmas Is You",49,95,"Mariah Carey","Merry Christmas",0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,"audio_features"
"3","Austria","Tequila",48,47,"LZ27","Tequila",0.812,0.647,6,-7.493,0,0.173,0.392,0.000461,0.0954,0.449,89.977,"audio_features"
"4","Austria","Santa Tell Me",47,93,"Ariana Grande","Santa Tell Me",0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,"audio_features"
"5","Austria","It's Beginning to Look a Lot like Christmas",46,73,"Michael Bublé","Christmas",0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,"audio_features"
"6","Austria","Dirndl Weed",45,72,"Sääftig","Dirndl Weed",0.699,0.536,8,-9.558,1,0.124,0.0763,0,0.184,0.433,140.006,"audio_features"
"7","Austria","For The Night (feat. Lil Baby & DaBaby)",44,94,"Pop Smoke","Shoot For The Stars Aim For The Moon",0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,"audio_features"
"8","Austria","Wonderful Dream (Holidays Are Coming) - Radio Version",43,75,"Melanie Thornton","Ready To Fly",0.578,0.676,8,-5.478,1,0.033,0.114,0,0.255,0.524,149.965,"audio_features"
"9","Austria","Blinding Lights",42,96,"The Weeknd","After Hours",0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,"audio_features"
"10","Austria","Roses - Imanbek Remix",41,65,"SAINt JHN","While The World Was Burning",0.769,0.719,8,-5.472,1,0.0474,0.0143,0.00777,0.359,0.863,121.955,"audio_features"
"11","Austria","All We Got (feat. KIDDO)",40,82,"Robin Schulz","All We Got (feat. KIDDO)",0.504,0.76,4,-4.246,1,0.0426,0.286,0,0.151,0.64,183.933,"audio_features"
"12","Austria","Monster (Shawn Mendes & Justin Bieber)",39,74,"Shawn Mendes","Wonder",0.64,0.392,2,-7.246,0,0.0574,0.0593,0,0.0839,0.502,145.838,"audio_features"
"13","Austria","It's the Most Wonderful Time of the Year",38,66,"Andy Williams","The Andy Williams Christmas Album",0.234,0.526,2,-11.656,1,0.0411,0.871,2.34e-06,0.122,0.649,201.739,"audio_features"
"14","Austria","Wonderful Christmastime - Edited Version / Remastered 2011",37,87,"Paul McCartney","McCartney II (Special Edition)",0.774,0.511,11,-8.914,1,0.0319,0.322,0,0.0672,0.771,94.736,"audio_features"
"15","Austria","What You Know Bout Love",36,95,"Pop Smoke","Shoot For The Stars Aim For The Moon",0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,"audio_features"
"16","Austria","gebe auf.",35,80,"Lune","gebe auf.",0.806,0.475,1,-8.235,0,0.0489,0.273,0.000603,0.13,0.56,99.995,"audio_features"
"17","Austria","Hollywood",34,77,"LA Vision","Hollywood",0.744,0.793,7,-6.02,0,0.0291,0.00851,0.000231,0.363,0.325,116,"audio_features"
"18","Austria","Bitte geh",33,71,"MERO","Seele",0.81,0.75,5,-4.421,0,0.0546,0.299,4.76e-05,0.13,0.246,110.044,"audio_features"
"19","Austria","WITHOUT YOU",32,86,"The Kid LAROI","F*CK LOVE (SAVAGE)",0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005,"audio_features"
"20","Austria","Driving Home for Christmas - 2019 Remaster",31,78,"Chris Rea","Dancing with Strangers (Deluxe Edition, 2019 Remaster)",0.513,0.583,9,-10.863,1,0.038,0.355,1.96e-05,0.18,0.866,180.183,"audio_features"
"21","Austria","Happy Xmas (War Is Over) - Remastered 2010",30,86,"John Lennon","Signature Box",0.321,0.64,2,-10.023,1,0.0324,0.28,0,0.718,0.414,146.172,"audio_features"
"22","Austria","Rockin' Around The Christmas Tree",29,92,"Brenda Lee","Merry Christmas From Brenda Lee",0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,"audio_features"
"23","Austria","Last Christmas",28,85,"Wham!","LAST CHRISTMAS",0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,"audio_features"
"24","Austria","Prisoner (feat. Dua Lipa)",27,81,"Miley Cyrus","Plastic Hearts",0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99,"audio_features"
"25","Austria","Paradise",26,44,"VIZE","Paradise",0.885,0.725,6,-4.048,1,0.0456,0.0655,0,0.0389,0.905,129.993,"audio_features"
"26","Austria","Merry Christmas Everyone",25,84,"Shakin' Stevens","Merry Christmas Everyone",0.534,0.904,9,-3.315,1,0.0369,0.129,0,0.128,0.96,202.899,"audio_features"
"27","Austria","Let It Snow! Let It Snow! Let It Snow!",24,89,"Dean Martin","A Winter Romance",0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009,"audio_features"
"28","Austria","Thank God It's Christmas - Non-Album Single",23,75,"Queen","The Works (Deluxe Edition 2011 Remaster)",0.296,0.421,7,-8.891,1,0.0285,0.214,0,0.232,0.335,83.425,"audio_features"
"29","Austria","positions",22,97,"Ariana Grande","Positions",0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,"audio_features"
"30","Austria","Underneath the Tree",21,87,"Kelly Clarkson","Wrapped In Red",0.509,0.812,8,-5.438,1,0.0537,0.0013,1.99e-05,0.214,0.689,159.876,"audio_features"
"31","Austria","Feliz Navidad",20,67,"José Feliciano","My Name Is José Feliciano",0.514,0.818,2,-9.642,1,0.0451,0.406,1.93e-06,0.299,0.967,148.733,"audio_features"
"32","Austria","Mood (feat. iann dior)",19,98,"24kGoldn","Mood (feat. iann dior)",0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,"audio_features"
"33","Austria","you broke me first",18,94,"Tate McRae","you broke me first",0.642,0.374,4,-9.386,1,0.0545,0.786,0,0.0906,0.0799,124.099,"audio_features"
