"","country","track.name","chart_number","track.popularity","artist.name","track.album.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","danceability_weighted","energy_weighted","temper"
"1","Austria","Do They Know It's Christmas? - 1984 Version",50,77,"Band Aid","Do They Know It's Christmas?",0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,"audio_features",29.95,32.1,62.05
"2","Austria","All I Want for Christmas Is You",49,90,"Mariah Carey","Merry Christmas",0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,"audio_features",16.464,30.723,47.187
"3","Austria","Santa Tell Me",48,87,"Ariana Grande","Santa Tell Me",0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,"audio_features",25.2,29.808,55.008
"4","Austria","It's Beginning to Look a Lot like Christmas",47,69,"Michael Bublé","Christmas",0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,"audio_features",15.933,10.058,25.991
"5","Austria","I'll Be Home",46,64,"Meghan Trainor","Title (Expanded Edition)",0.542,0.37,2,-7.779,1,0.0257,0.318,4.84e-06,0.108,0.289,84.796,"audio_features",24.932,17.02,41.952
"6","Austria","Dirndl Weed",45,65,"Sääftig","Dirndl Weed",0.699,0.536,8,-9.558,1,0.124,0.0763,0,0.184,0.433,140.006,"audio_features",31.455,24.12,55.575
"7","Austria","Wonderful Dream (Holidays Are Coming) - Radio Version",44,68,"Melanie Thornton","Ready To Fly",0.578,0.676,8,-5.478,1,0.033,0.114,0,0.255,0.524,149.965,"audio_features",25.432,29.744,55.176
"8","Austria","Blinding Lights",43,96,"The Weeknd","After Hours",0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,"audio_features",22.102,31.39,53.492
"9","Austria","My Only Wish (This Year)",42,74,"Britney Spears","My Only Wish (This Year)",0.669,0.843,0,-3.766,1,0.0268,0.169,0,0.195,0.702,147.08,"audio_features",28.098,35.406,63.504
"10","Austria","It's the Most Wonderful Time of the Year",41,62,"Andy Williams","The Andy Williams Christmas Album",0.234,0.526,2,-11.656,1,0.0411,0.871,2.34e-06,0.122,0.649,201.739,"audio_features",9.594,21.566,31.16
"11","Austria","Like It's Christmas",40,77,"Jonas Brothers","Like It's Christmas",0.725,0.571,1,-6.007,1,0.102,0.0183,0,0.0519,0.61,146.035,"audio_features",29,22.84,51.84
"12","Austria","Have Yourself A Merry Little Christmas",39,76,"Sam Smith","Have Yourself A Merry Little Christmas",0.438,0.178,5,-9.402,1,0.0414,0.957,0,0.316,0.344,75.248,"audio_features",17.082,6.942,24.024
"13","Austria","What You Know Bout Love",38,95,"Pop Smoke","Shoot For The Stars Aim For The Moon",0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,"audio_features",26.942,20.824,47.766
"14","Austria","gebe auf.",37,81,"Lune","gebe auf.",0.806,0.475,1,-8.235,0,0.0489,0.273,0.000603,0.13,0.56,99.995,"audio_features",29.822,17.575,47.397
"15","Austria","Hollywood",36,78,"LA Vision","Hollywood",0.744,0.793,7,-6.02,0,0.0291,0.00851,0.000231,0.363,0.325,116,"audio_features",26.784,28.548,55.332
"16","Austria","Driving Home for Christmas - 2019 Remaster",35,70,"Chris Rea","Dancing with Strangers (Deluxe Edition, 2019 Remaster)",0.513,0.583,9,-10.863,1,0.038,0.355,1.96e-05,0.18,0.866,180.183,"audio_features",17.955,20.405,38.36
"17","Austria","Happy Xmas (War Is Over) - Remastered 2010",34,79,"John Lennon","Signature Box",0.321,0.64,2,-10.023,1,0.0324,0.28,0,0.718,0.414,146.172,"audio_features",10.914,21.76,32.674
"18","Austria","Rockin' Around The Christmas Tree",33,86,"Brenda Lee","Merry Christmas From Brenda Lee",0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,"audio_features",19.437,15.576,35.013
"19","Austria","Last Christmas",32,76,"Wham!","LAST CHRISTMAS",0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,"audio_features",23.52,15.296,38.816
"20","Austria","Holidays Are Coming (from the Coca-Cola Campaign) (feat. Camélia Jordana & Namika)",31,62,"The Kingdom Choir","Holidays Are Coming (from the Coca-Cola Campaign) (feat. Camélia Jordana & Namika)",0.272,0.45,8,-6.495,1,0.0309,0.329,0,0.0758,0.331,79.092,"audio_features",8.432,13.95,22.382
"21","Austria","Prisoner (feat. Dua Lipa)",30,64,"Miley Cyrus","Plastic Hearts",0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99,"audio_features",23.43,20.1,43.53
"22","Austria","Paradise",29,44,"VIZE","Paradise",0.885,0.725,6,-4.048,1,0.0456,0.0655,0,0.0389,0.905,129.993,"audio_features",25.665,21.025,46.69
"23","Austria","Merry Christmas Everyone",28,75,"Shakin' Stevens","Merry Christmas Everyone",0.534,0.904,9,-3.315,1,0.0369,0.129,0,0.128,0.96,202.899,"audio_features",14.952,25.312,40.264
"24","Austria","Let It Snow! Let It Snow! Let It Snow!",27,83,"Dean Martin","A Winter Romance",0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009,"audio_features",12.177,6.48,18.657
"25","Austria","Thank God It's Christmas - Non-Album Single",26,66,"Queen","The Works (Deluxe Edition 2011 Remaster)",0.296,0.421,7,-8.891,1,0.0285,0.214,0,0.232,0.335,83.425,"audio_features",7.696,10.946,18.642
"26","Austria","Monster (Shawn Mendes & Justin Bieber)",25,90,"Shawn Mendes","Monster",0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765,"audio_features",16.3,9.575,25.875
"27","Austria","positions",24,96,"Ariana Grande","Positions",0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,"audio_features",17.688,19.248,36.936
"28","Austria","Underneath the Tree",23,81,"Kelly Clarkson","Wrapped In Red",0.509,0.812,8,-5.438,1,0.0537,0.0013,1.99e-05,0.214,0.689,159.876,"audio_features",11.707,18.676,30.383
"29","Austria","1 Stunde",22,62,"Zuna","1 Stunde",0.765,0.716,7,-6.93,1,0.461,0.154,4.81e-05,0.166,0.25,97.7,"audio_features",16.83,15.752,32.582
"30","Austria","Mood (feat. iann dior)",21,99,"24kGoldn","Mood (feat. iann dior)",0.7,0.722,7,-3.558,0,0.0369,0.221,0,0.272,0.756,90.989,"audio_features",14.7,15.162,29.862
"31","Austria","you broke me first",20,94,"Tate McRae","you broke me first",0.642,0.374,4,-9.386,1,0.0545,0.786,0,0.0906,0.0799,124.099,"audio_features",12.84,7.48,20.32
"32","Austria","Sleigh Ride",19,67,"The Ronettes","Caroling at Christmas",0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,"audio_features",10.051,14.668,24.719
"33","Austria","Christmas Lights",18,74,"Coldplay","Christmas Lights",0.312,0.418,7,-9.146,1,0.0296,0.131,0.000679,0.0836,0.237,130.795,"audio_features",5.616,7.524,13.14
"34","Austria","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)",17,82,"Frank Sinatra","Christmas Songs by Sinatra",0.652,0.259,2,-13.336,1,0.0595,0.903,0,0.362,0.836,142.169,"audio_features",11.084,4.403,15.487
"35","Austria","Lonely (with benny blanco)",16,95,"Justin Bieber","Lonely (with benny blanco)",0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859,"audio_features",10.096,3.824,13.92
"36","Austria","Therefore I Am",15,94,"Billie Eilish","Therefore I Am",0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,"audio_features",13.335,5.1,18.435
"37","Austria","Hallelujah",14,72,"Pentatonix","A Pentatonix Christmas",0.322,0.377,7,-7.385,0,0.0356,0.454,0,0.338,0.366,118.669,"audio_features",4.508,5.278,9.786
"38","Austria","Angeklagt",13,73,"Bonez MC","Hollywood Uncut",0.658,0.624,1,-9.155,0,0.0915,0.171,0.00588,0.116,0.314,181.942,"audio_features",8.554,8.112,16.666
"39","Austria","Christmas Time",12,59,"Bryan Adams","Christmas",0.503,0.583,0,-4.324,1,0.0252,0.469,0,0.103,0.323,77.321,"audio_features",6.036,6.996,13.032
"40","Austria","Head & Heart (feat. MNEK)",11,93,"Joel Corry","Head & Heart (feat. MNEK)",0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,"audio_features",8.074,9.614,17.688
"41","Austria","Head Shoulders Knees & Toes (feat. Norma Jean Martine)",10,84,"Ofenbach","Head Shoulders Knees & Toes (feat. Norma Jean Martine)",0.798,0.828,2,-5.36,1,0.193,0.0247,2.55e-06,0.121,0.6,124.962,"audio_features",7.98,8.28,16.26
"42","Austria","Jingle Bell Rock - Daryl's Version",9,75,"Daryl Hall & John Oates","Jingle Bell Rock",0.666,0.841,2,-3.592,1,0.0312,0.613,0,0.113,0.84,128.706,"audio_features",5.994,7.569,13.563
"43","Austria","AQUA",8,63,"Luciano","AQUA",0.945,0.421,11,-8.854,0,0.239,0.0543,0.000139,0.144,0.704,131.997,"audio_features",7.56,3.368,10.928
"44","Austria","Holly Jolly Christmas",7,70,"Michael Bublé","Christmas",0.647,0.465,7,-8.308,1,0.0428,0.865,0,0.0882,0.699,151.251,"audio_features",4.529,3.255,7.784
"45","Austria","Lemonade (feat. Gunna, Don Toliver & NAV)",6,90,"Internet Money","B4 The Storm",0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042,"audio_features",4.8,3.948,8.748
"46","Austria","Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version",5,44,"Paul McCartney","McCartney II (Special Edition)",0.774,0.511,11,-8.914,1,0.0319,0.322,0,0.0672,0.771,94.736,"audio_features",3.87,2.555,6.425
"47","Austria","Feliz Navidad",4,75,"José Feliciano","The Definite Best",0.485,0.857,2,-7.059,1,0.0442,0.534,0,0.347,0.963,148.749,"audio_features",1.94,3.428,5.368
"48","Austria","Jingle Bell Rock",3,59,"Bobby Helms","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)",0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,"audio_features",2.262,1.272,3.534
"49","Austria","Mistletoe",2,82,"Justin Bieber","Under The Mistletoe (Deluxe Edition)",0.657,0.56,6,-9.049,0,0.0467,0.498,0,0.0794,0.854,161.993,"audio_features",1.314,1.12,2.434
"50","Austria","ROCKSTAR (feat. Roddy Ricch)",1,93,"DaBaby","BLAME IT ON BABY",0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,"audio_features",0.746,0.69,1.436
"51","Andorra","Hasta Que Dios Diga",50,85,"Anuel AA","Emmanuel",0.691,0.765,8,-4.727,1,0.111,0.464,3.29e-06,0.203,0.855,174.021,"audio_features",34.55,38.25,72.8
"52","Andorra","All I Want",49,83,"Kodaline","In A Perfect World (Expanded Edition)",0.209,0.412,0,-9.733,1,0.0443,0.172,0.15,0.0843,0.162,86.26,"audio_features",10.241,20.188,30.429
"53","Andorra","Blinding Lights",48,96,"The Weeknd","After Hours",0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,"audio_features",24.672,35.04,59.712
"54","Andorra","Corazón partío",47,75,"Alejandro Sanz","Más",0.648,0.846,0,-6.731,1,0.0424,0.199,4.23e-06,0.0803,0.815,160.075,"audio_features",30.456,39.762,70.218
"55","Andorra","Cicatrices",46,64,"Natos y Waor","Cicatrices",0.718,0.814,8,-5.467,1,0.345,0.695,0,0.125,0.27,120.04,"audio_features",33.028,37.444,70.472
"56","Andorra","No Puedo Vivir Sin Ti",45,63,"Los Ronaldos","4 Canciones",0.593,0.804,0,-4.917,1,0.037,0.412,0,0.109,0.596,128.425,"audio_features",26.685,36.18,62.865
"57","Andorra","Tu Foto Del DNI",44,75,"Marmi","Tu Foto Del DNI",0.488,0.922,10,-2.542,0,0.0978,0.0306,0,0.374,0.52,172.804,"audio_features",21.472,40.568,62.04
"58","Andorra","Cuando Éramos Dos",43,67,"Sinsinati","Cuando Éramos Dos",0.56,0.589,6,-5.612,0,0.0419,0.135,0,0.109,0.712,100.04,"audio_features",24.08,25.327,49.407
"59","Andorra","Hawái",42,88,"Maluma","PAPI JUANCHO",0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,"audio_features",32.886,30.534,63.42
"60","Andorra","Entre Sobras Y Sobras Me Faltas",41,56,"Antonio Orozco","Aviónica",0.416,0.358,10,-8.535,1,0.0462,0.476,0,0.111,0.116,80.643,"audio_features",17.056,14.678,31.734
"61","Andorra","Under Pressure - Remastered 2011",40,79,"Queen","Hot Space (2011 Remaster)",0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,"audio_features",26.84,28.48,55.32
"62","Andorra","Sugar",39,80,"Maroon 5","V",0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,"audio_features",29.172,30.732,59.904
"63","Andorra","Jerusalema (feat. Nomcebo Zikode)",38,86,"Master KG","Jerusalema",0.88,0.483,1,-7.012,1,0.0504,0.0185,8.75e-06,0.0607,0.827,124.009,"audio_features",33.44,18.354,51.794
"64","Andorra","In the night",37,54,"Oques Grasses","Fans del sol",0.752,0.886,7,-5.059,0,0.0387,0.191,0.0029,0.0332,0.81,109.976,"audio_features",27.824,32.782,60.606
"65","Andorra","Callaita",36,82,"Bad Bunny","Callaita",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,"audio_features",21.96,22.464,44.424
"66","Andorra","Yo No Voy",35,74,"Morad","Yo No Voy",0.795,0.72,2,-6.653,0,0.0931,0.334,0.000229,0.104,0.687,143.939,"audio_features",27.825,25.2,53.025
"67","Andorra","Presiento",34,69,"Morat","Balas Perdidas (Edición Especial)",0.711,0.727,2,-3.15,1,0.162,0.168,0,0.296,0.465,180.039,"audio_features",24.174,24.718,48.892
"68","Andorra","Marta, Sebas, Guille y los demás",33,61,"Amaral","Pájaros En La Cabeza",0.598,0.853,2,-4.559,1,0.0506,0.269,0,0.112,0.66,102.473,"audio_features",19.734,28.149,47.883
"69","Andorra","Como Estrellas",32,77,"LA YOUNG","Como Estrellas",0.446,0.496,6,-6.051,1,0.0857,0.765,0,0.259,0.763,170.145,"audio_features",14.272,15.872,30.144
"70","Andorra","Hecha Pa' Mi",31,77,"Boza","Más Negro Que Rojo",0.725,0.756,4,-5.013,1,0.0572,0.362,0.000685,0.103,0.828,100.07,"audio_features",22.475,23.436,45.911
"71","Andorra","Un Veneno",30,67,"C. Tangana","Un Veneno",0.67,0.318,2,-12.938,1,0.298,0.859,0.00198,0.106,0.304,85.806,"audio_features",20.1,9.54,29.64
